Site Name,Site Location,Cluster,Site Acronym,Mib(ng/L),Geosmin(ng/L),Cyclocitral(ng/L),TP (ug/L),DOC (mg/L),UVA(cm-1),Suva(L/mg-m),Conductance(us/cm),TDN (mg/L),date
APA1A,"Apache Lake, upper",srp,"Apache, epi, upper",0.54,0.79,0,62,5.5,0.03,0.8,1102,0.3,2/15/2012
APA1B,"Apache Lake, upper",srp,"Apache, hypo, upper",6.5,0,0,14,3.8,0.03,0.8,1114,0.3,2/15/2012
APA2A,"Apache Lake, lower",srp,"Apache, epi, lower",0.7,1,0,10,5.5,0.06,1.2,1202,0.4,2/15/2012
APA2B,"Apache Lake, lower",srp,"Apache, hypo, lower",0.6,1,0,18,3.9,0.03,0.8,1101,0.4,2/15/2012
Can1A,"Canyon Lake, upper",srp,"Canyon, epi, upper",1.1,0.79,0,62,3.8,0.03,0.8,1102,0.3,2/15/2012
Can1B,"Canyon Lake, upper",srp,"Canyon, hypo, upper",12.76,13.87,0,28,4.6,0.03,0.7,1095,0.5,2/15/2012
Can2A,"Canyon Lake, lower",srp,"Canyon, epi, lower",8.4,9.68,0,21.6,3.9,0.03,0.8,1097,0.4,2/15/2012
Can2B,"Canyon Lake, lower",srp,"Canyon, hypo, lower",25.2,2,0,15.6,4.4,0.03,0.7,1096,0.5,2/15/2012
Roos1A,"Roosevelt Lake, upper",srp,"Roosevelt, epi, upper",1,1.3,0,16.8,3.7,0.03,0.8,1387,0.3,2/15/2012
Roos1B,"Roosevelt Lake, upper",srp,"Roosevelt, hypo, upper",1.64,1.11,0,7.2,3.6,0.03,0.8,1393,0.3,2/15/2012
Roos2A,"Roosevelt Lake, lower",srp,"Roosevelt, epi, lower",0.86,1.44,0,5.2,3.6,0.03,0.8,1352,0.3,2/15/2012
Roos2B,"Roosevelt Lake, lower",srp,"Roosevelt, hypo, lower",1,1.1,0,10,3.7,0.8,1,1491,0.4,2/15/2012
APA1A,"Apache Lake, upper",srp,"Apache, epi, upper",4.5,4.2,0,28.2,6.3,0.1,1.2,993,0.6,5/16/2012
Can1A,"Canyon Lake, upper",srp,"Canyon, epi, upper",2.2,0,0,14.6,4.5,0.1,1.7,1005,0.5,5/16/2012
Roos2B,"Roosevelt Lake, lower",srp,"Roosevelt, hypo, lower",1,1.1,0,10,3.7,0.03,0.8,1491,0.4,5/16/2012
