"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-08-16",NA,NA,0.5518,0.448,39.22,15.932,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-08-16",NA,NA,0.2018,0.1731,9.456,2.646,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-08-16",NA,NA,0.2702,0.3258,31.58,22.92,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-08-16",NA,NA,0.2816,0.2858,34.34,22.16,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-08-17",NA,NA,0.2074,0.2026,24.26,17.26,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-08-17",NA,NA,0.3538,0.3522,1.468,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-08-17",NA,NA,0.1993,0.2122,27.96,33.6,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-08-17",NA,NA,0.254,0.2246,19.464,18.876,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-08-17",NA,NA,0.2694,0.2406,22.74,7.776,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-08-17",NA,NA,0.2352,0.2366,28.46,15.764,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-08-17",NA,NA,0.2678,0.2134,12.82,0,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-08-17",NA,NA,0.346,0.2664,42.42,25.6,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-08-18","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-08-18","lab blank",NA,-0.00357,NA,0.44,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-08-18",NA,NA,0.301,0.2664,4.074,7.018,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-08-18",NA,NA,0.2468,0.2254,9.542,11.476,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-08-18",NA,NA,0.2908,0.2336,16.606,33.26,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-08-18",NA,NA,0.2314,0.2432,5.504,1.804,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-08-18",NA,NA,0.3164,0.3362,2.056,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-08-18",NA,NA,0.3898,0.3786,9.456,3.066,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-08-18",NA,NA,0.3448,0.3482,5.588,0,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-08-25",NA,NA,0.168,0.1096,15.596,6.262,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-09-14",NA,NA,0.5074,0.3716,43.02,26.94,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-09-14",NA,NA,0.2296,0.2072,6.436,1.888,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-09-14",NA,NA,0.3748,0.3426,30.32,42.08,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-09-14",NA,NA,0.396,0.3626,40.24,30.22,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-09-15","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-09-15","lab blank",NA,0.036,NA,0.44,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-09-15",NA,NA,0.2076,0.2114,25.6,12.904,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-09-15",NA,NA,0.3394,0.3342,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-09-15",NA,NA,0.3016,0.2014,28.04,9.878,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-09-15",NA,NA,0.2726,0.2148,15.848,19.38,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-09-15",NA,NA,0.2902,0.238,14.418,5.588,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-09-15",NA,NA,0.3344,0.2812,17.866,16.774,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-09-15",NA,NA,0.3106,0.2834,6.01,0,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-09-15",NA,NA,0.4452,0.3108,13.914,2.392,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-09-16",NA,NA,0.2624,0.2332,0,10.046,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-09-16",NA,NA,0.2872,0.2504,32.34,15.176,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-09-16",NA,NA,0.3268,0.226,29.48,4.832,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-09-16",NA,NA,0.3184,0.2618,15.428,10.634,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-09-16",NA,NA,0.3226,0.3146,39.74,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-09-16",NA,NA,0.3664,0.3346,9.626,8.952,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-09-16",NA,NA,0.3424,0.322,0,3.486,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-09-29",NA,NA,0.631,0.38,154,28.2,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-10-12",NA,NA,0.3184,0.2786,0,0,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-10-12",NA,NA,0.3328,0.2838,3.214,0,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-10-12",NA,NA,0.3372,0.2548,9.394,0,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","1999-10-12",NA,NA,0.3248,0.275,6.504,0,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-10-12",NA,NA,0.2754,0.251,0,0,NA,NA,NA
"DV-WR","Deer Valley WTP wash return",NA,NA,"1999-10-13","extra sample",NA,2.484,0.421,0,0,NA,NA,NA
"field_blank","field blank",NA,"field blank","1999-10-13","field blank",NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-10-13","lab blank",NA,0.0257,NA,1.58,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-10-13",NA,NA,0.2814,0.2732,0,0,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-10-13",NA,NA,0.3138,0.2532,44,22.22,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-10-13",NA,NA,0.3284,0.2346,28.92,8.996,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-10-13",NA,NA,0.3702,0.268,48.56,10.176,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-10-13",NA,NA,0.3924,0.3426,28.84,5.74,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-10-13",NA,NA,0.2746,0.2282,16.784,5.228,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SP-WR","Squaw Peak WTP wash return",NA,NA,"1999-10-13","extra sample",NA,2.008,0.2562,0,0,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-10-14",NA,NA,0.2786,0.256,20.1,13.732,NA,NA,NA
